title,album,lyrics
December,Christmas & Chill - EP,"[Verse 1]
When December comes
I bet you want to wrap me all up and take me home with you
See what I look like under them lights
We'll keep it quiet, whatever we do

[Pre-Chorus]
I'm just tryna keep my baby warm through the wintertime
I'm just tryna give you something to remember through the summertime
And whatever is on your list, I'll do it
Boy, whatever it is, you know I'll do it
Uh, yeah

[Chorus]
Merry Christmas, here I am, boy
Gonna love you, gonna give you all I can, boy, uh
Merry Christmas, here I am, boy
I'm the present and you know it, here I am, boy, uh
Merry Christmas, here I am, boy
Gonna love you, gonna give you all I can, boy, uh
Merry Christmas, here I am, boy
I'm the present and you know it, boy, uh, yeah

[Verse 2]
I'll give you the fire I keep inside
Guide you all the way down, be your nightlight
Give you the sweetest kiss that you'll taste
Come unwrap me now, been waiting since midnight

[Pre-Chorus]
I'm just tryna keep my baby warm through the wintertime
I'm just tryna give you something to remember through the summertime
And whatever is on your list, I'll do it
Boy, whatever it is, you know I'll do it
Uh, yeah

[Chorus]
Merry Christmas, here I am, boy
Gonna love you, gonna give you all I can, boy, uh
Merry Christmas, here I am, boy
I'm the present and you know it, here I am, boy, uh
Merry Christmas, here I am, boy
Gonna love you, gonna give you all I can, boy, uh
Merry Christmas, here I am, boy
I'm the present and you know it, boy, uh, yeah"
Die In Your Arms,,"[Intro]
Mhmm, uh-huh, yeah yeah, alright
Mhmm, uh-huh, yeah yeah, alright

[Verse 1]
Say you love me as much as I love you, yeah
Would you hurt me, baby?
Could you do that to me, yeah?
Would you lie to me, baby?
Cause the truth hurts so much more
Would you do the things that drive me crazy?
Leave my heart still at the door?

[Pre-Chorus]
Oh, I can't help it, I'm just selfish
There's no way that I could share you
That would break my heart to pieces
Honestly the truth is

[Chorus]
If I could just die in your arms
I wouldn't mind
Cause everytime you touch me
I just die in your arms
Oh, it feels so right
Yeah, yeah
So, baby, baby, please don't stop boy

[Interlude (Spoken)]
You know, this ain't the first time this has happened to me
This lovesick thing
I like serious relationships, and uh...
A girl like me don't stay single for long
'Cuz everytime a boyfriend and I break-up
My world is crushed and I'm all alone
The love bug comes right back up and bites me...
And I'm back

[Verse 2]
Oh, if there is a reason to call me a fool
Cause I love too hard
Are there any rules, baby?
If this is a lesson
Baby, teach me to behave
Just tell me what I gotta do
Just to stay right next to you

[Pre-Chorus]
Oh, I can't help it, I'm just selfish
There's no way that I could share you
That would break my heart to pieces
Honestly the truth is

[Chorus]
If I could just die in your arms
I wouldn't mind
Yeah, yeah
Cause everytime you touch me
I just die in your arms
Ooh, it feels so right
So, baby, baby, please don't stop boy

[Bridge]
Basically I’m saying here
I can’t live without my baby
Loving you is so damn easy for me yeah
Ain’t no need for contemplating
Promise you won’t keep me waiting
Tell me baby I’m all that you need

[Chorus]
If I could just die in your arms
I wouldn't mind
Cause everytime you touch me
I just die in your arms
Oh, it feels so right
So, baby, baby, please don't stop boy

[Outro]
If I could die
(I’mma make you believe boy)
I wouldn't mind
Ay, ay, oooh
Don't stop baby, no no oh!
It's what you do to me, yeah
Wooh, no no no no no no
Oooh
If I could just die
Oooh
Baby please don't go boy
No no no no no no"
Don't Be Gone Too Long,,"[Verse 1]
I dug a single seed into the ground
I hope it grows, grows
In a year or two if you're around
You'll see a rose, rose

[Verse 2]
Pack me up and keep me hidden somewhere
That you can find me
On this train to Paris going nowhere
Draw the bridge behind me

[Chorus]
Don't be gone too long
'Cause you won't be there to love me
When you're gone
Don't be gone too long
'Cause tell me who's gonna love me
When you're gone
Oh yeah, when you're, when you're gone
Oh yeah, yeah, when you're gone

[Verse 3]
Golden leaves are dancing on the ground
It's getting cold, cold
Safe from time, we'll be forever young
Never old, old

[Verse 4]
See upon a ball of fire out in space
Zooming up behind me
All the wondering on your face
Was there inside me

[Chorus]
Don't be gone too long
'Cause you won't be there to love me
When you're gone
Don't be gone too long
Tell me who's gonna love me
When you're gone
Oh, oh, when you're, when you're gone
Oh, oh, when you're gone

[Bridge]
Bring it back to me, bring it back to me
Is it really over?
Bring it back to me, bring it back to me
(Bring it back to me)
Bring it back to me, bring it back to me
Is it really over?
Bring it back to me, bring it back to me

[Chorus]
Don't be gone too long
'Cause you won't be there to love me
When you're gone
Don't be gone too long
Tell me who's gonna love me
When you're gone

Don't be gone too long
(Don't be gone too long)
'Cause you won't be there to love me
When you're gone
(When you're gone)
Don't be gone too long (when you're gone)
'Cause tell me who's gonna love me
When you're gone"
Do You Love Me?,,"[Hook : Ariana Grande]
Do you love me? (Do you love me?)
Do you love me? (Do you love me?)
Oh, do you love me? (Do you love me?)
Now that I can dance
Watch me now! Drop

[Pre-Verse 1 : Sky Blu]
I can mash potato
I can do the twist
Now tell me, baby
Do you like it like this?
Ariana, and your boy Sky Blu
I gotta tell you something, baby
I think I love you

[Verse 1 : Sy Blu]
Born to party, born to rock
Big bad, baby, we're on top, uh
Rolling in the cadi
Hilowitz making hits like grandaddy
Bust a move, get in the groove
Baby girl, I'm into you
Show me what you can do
I got you, boom
You're feeling some new

[Pre-Hook: Ariana Grande]
Tell me if it's meant to be
I'd give my love, but it ain't for free
So watch it now, talk is cheap
Baby, cash then come with me
Say dance, dance, young romance
You bad boy better take a chance

[Hook : Ariana Grande]
Do you love me? (Do you love me?)
Do you love me, boy? (Do you love me?)
Oh, do you love me ? (Do you love me?)
Now that I can dance
Watch me now!
Drop

[Pre-verse 1 : Ariana Grande]
I can mash potato
And I can do the twist
Now tell me, baby
Do you like it like this
Ariana and my boy Sky Blu
I gotta tell you, baby
I think I love you!

[Verse 2: Sky Blu]
Got the money, got the cash
On the dance floor, I'm Michael Jackson
Time for some action, here we go
Sky Blu in the stereo
Turn it up, hurry up
She doing it Grande, that's what's up
Her plus me, you can add it up
Oh, you'll never get enough of that

[Pre-Hook: Ariana Grande]
Tell me if it's meant to be
I'd give my love, but it ain't for free
So watch it now, talk is cheap
Baby, cash then come with me
Say dance, dance, young romance
You bad boy better take a chance
Baby boy, you need to know

[Hook : Ariana Grande]
Do you love me? (Do you love me?)
Do you love me? (Do you love me?)
Oh, do you love me, boy? (Do you love me ?)
Now that I can dance
Watch me now

[Interlude : Sky Blu]
You broke my heart 'cause I couldn't dance
You didn't even want me around
But now I'm back to let you know
I can really shuffle 'em down, yeah !

[Outro : Ariana Grande & (Sky Blu)]
Do you love me? (Hey, hey, hey! Whoo!)
Do you love me? (Yeah ! Hey, hey, oh!)
Do you love m ? (Sky Blu, baby!)
Do you love me? (Ariana Grande)
Do you love me? (Be rockin', be rockin', dont stop me!)
Do you love me? (Put your hands up, put your hands up, put your hands up!)
(Hey, hey, hey, hey, hey, hey, hey, hey, hey!)
(Dance, dance young romance, oh)"
Emotions (Mariah Carey cover),,"[Intro]
I feel good, I feel nice
I've never felt so satisfied
I'm in love, I'm alive
Intoxicated, flying high
It feels like a dream...

[Chorus]
You've got me feeling emotions
Deeper than I've ever dreamed of
You've got me feeling emotions
Higher than the heavens above

[Verse 1]
I feel good, I feel nice
I've never felt so satisfied
I'm in love, I'm alive
Intoxicated, flying high
It feels like a dream
When you touch me tenderly
I don't know if it's real
But I like the way I feel
Inside

[Chorus]
You've got me feeling emotions
Deeper than I've ever dreamed of
You've got me feeling emotions
Higher than the heavens above

[Verse 2]
In the morning, when I rise
You are the first thing, on my mind
And in the middle of the night
I feel your heartbeat next to mine
If feels like a dream
When you love me tenderly
I don't know if you're for real
But I like the way I feel
Inside

[Chorus]
You've got me feeling emotions
Deeper than I've ever dreamed of
You've got me feeling emotions
Higher than the heavens above

[Bridge]
You know the way to make me lose control
When you're looking into my eyes
You make me feel so
High

[Chorus]
You've got me feeling emotions
Deeper than I've ever dreamed of
You've got me feeling emotions
Higher than the heavens above"
Everyday,Dangerous Woman,"[Verse 1: Ariana Grande]
Anytime I'm alone, I can't help thinking about you
All I want, all I need, all I see is just me and you

[Pre-Chorus: Ariana Grande]
He giving me that good shit
That make me not quit, that good shit
He giving me that good shit
That make me not quit, that good shit

[Chorus: Ariana Grande & Future]
Oh, he give it to me
Everyday, everyday, everyday, every
He give it to me
Everyday, everyday, everyday, every
Oh, he give it to me
Everyday, everyday, everyday, every
He give it to me
Everyday, everyday, everyday, every

[Verse 2: Ariana Grande]
Anytime, anywhere, baby boy, I can misbehave
Breathe me in, breathe me out, feel me, I'm
Running through your veins

[Pre-Chorus: Ariana Grande]
He giving me that good shit
That make me not quit, that good shit
He giving me that good shit
That make me not quit, that good shit

[Chorus: Ariana Grande & Future]
Oh, he give it to me
Everyday, everyday, everyday, every
He give it to me
Everyday, everyday, everyday, every
Oh, he give it to me
Everyday, everyday, everyday, every
He give it to me
Everyday, everyday, everyday, every

[Refrain: Ariana Grande & Future]
He make me go....
La, la, la, la, la, la, la, la, la, la, la, la
La, la, la, la, la, la, la, la
Everyday, every
La, la, la, la, la, la, la, la, la, la, la, la
La, la, la, la, la, la, la, la
Everyday, every

[Verse 3: Future]
I put that work on you everyday
When the night fall 'til the sun come up
You done fell in love with a bad guy
I don't compromise my passion
You know what you do for me, I'm doing the same for you
I don't be trippin' or makin' mistakes
I made too many in my past (that's right)
I fight for the things you believe in
I got your body and put it in drive, baby
Like I got keys in
We 'bout to take us a vacation
I'm 'bout to put all this vintage lovin' on you
Baby, like it was the late 80s
When you ride on me, baby, rotate it

[Pre-Chorus: Ariana Grande & Future]
He giving me that good shit (Yeah)
That make me not quit, that good shit (Let me turn it up)

[Chorus: Ariana Grande & Future]
Oh, he give it to me
Everyday, everyday, everyday, every
He give it to me
Everyday, everyday, everyday, every
Oh, he give it to me
Everyday, everyday, everyday, every
He give it to me
Everyday, everyday, everyday, every

[Refrain: Ariana Grande & Future]
He make me go....
La, la, la, la, la, la, la, la, la, la, la, la
La, la, la, la, la, la, la, la
Everyday, every
La, la, la, la, la, la, la, la, la, la, la, la
La, la, la, la, la, la, la, la
Everyday, every

[Outro: Ariana Grande & (Future)]
Give it to me, to me
(She got me on it...)
Oh, he give it to me every day
(She got me on it...)"
​everytime,Sweetener,"[Intro]
Back to you, back to you, back to you
Back to you, back to you, back to you
I go back to you, back to you, back to you every time

[Verse 1]
I get tired of your no-shows
You get tired of my control (Yuh)
They keep telling me to let go
But I don't really let go when I say so (Yuh, yuh)
I keep giving people blank stares (Yeah)
I'm so different when you're not there (Yuh)
It's like something out of Shakespeare
Because I'm really not here when you're not there

[Pre-Chorus]
I've tried to fight our energy
But every time I think I'm free (Yeah)

[Chorus]
You get high and call on the regular
I get weak and fall like a teenager
Why, oh why does God keep bringing me back to you?
I get drunk, pretend that I'm over it
Self-destruct, show up like an idiot
Why, oh why does God keep bringing me back to you?

[Post-Chorus]
I go back to you, back to you, back to you
Back to you, back to you, back to you
I go back to you, back to you, back to you every time

[Verse 2]
Just when I get on a new wave (Yuh)
Boy, you look at me and I slip outta my lace
They keep calling me a head-case
'Cause I can't make a good case why we can't change

[Pre-Chorus]
I've tried to fight our energy
But every time I think I'm free (Yeah)

[Chorus]
You get high and call on the regular
I get weak and fall like a teenager
Why, oh why does God keep bringing me (Mmm) back to you?
(Back to you, baby)
I get drunk, pretend that I'm over it
Self-destruct, show up like an idiot
Why, oh why does God keep bringing me back to you?

[Post-Chorus]
I go back to you, back to you, back to you (I go back to you)
Back to you, back to you, back to you (Back to you)
I go back to you, back to you, back to you every time (I go)
I go back to you, back to you, back to you (Yeah)
Back to you, back to you, back to you
I go back to you, back to you, back to you every time"
Feminism (Quotes),,"""When will people stop being offended by women showing skin / expressing sexuality? Men take their shirts off / express their sexuality onstage, in videos, on Instagram, anywhere they want to… All. The. Time. The double standard is so boring and exhausting. With all due respect, i think it's time you get your head out of your ass. [sic] Women can love their bodies too!!""
– responding to a commenter who said she was ""like a whore"" in her ""Dangerous Woman"" video, on Facebook

""The incredible double standard that we [women] face on a daily basis, in the industry and just in the world, it's shocking. I would be so amused, and pardon me if this comes across as sexist, but I don't think a male artist would be in this position right now. Sorry. If i'm speaking about something that I'm passionate about, I'm willing to take the brunt for fighting in what I believe in and my fellow women are definitely something that I will always be one of the first to speak up about.""

""Is this what you think girls have trouble choosing between? … Is this men assuming that that's what girls would have to choose between? … You need a little brushing up on equality over here.""

""I have a long list of things I'd like to change … I think, judgement in general. Intolerance, meanness, double standards, misogyny, racism, sexism. You know, all that shit. There's lots we've got to get started on. That's what we need to focus on. We've got work to do.""
– responding to the question ""If you could use makeup or your phone one last time, what would you pick?"" on California's Power 106 FM

""I'm tired of needing to be linked to a guy, I'm not Big Sean's ex, I'm not Niall's new possible girl. I'm Ariana Grande.""
– to The Sun

""What I meant when I said what I said about not being Sean's ex is that I am tired of living in world where women are mostly referred to as a man's past, present or future PROPERTY / POSSESSION. I … do not. Belong. To Anyone. But myself. And neither do you … I can't wait to live in a world where people are not valued by who they're dating/ married/ attached to, having sex with (or not)/ seen with … but by their value as an individual. ""

""[People] are so ignorant sometimes. Stop trying to make people feel badly about their bodies. It's okay to be different ... to be curvy or to be thin. When did it become socially acceptable to comment on what you think is 'wrong' with other people's bodies? We were having fun! Dancing on stage. 'What's she shaking tho???' I'm shaking my pretty, cute, petite ass next to Nicki's pretty big booty. Both are f---ing awesome. How about we respect people's body boundaries and encourage each other to feel like a babe no matter how they are? That [would] be nice. So tired of watching everyone try to tear each other down.""
– on Instagram

""Gloria Steinem published an article in 1969 titled 'After Black Power, Women's Liberation' and 46 years later … we're still not quite there yet! If a woman has lots of sex (or any sex for that matter) … she's a 'slut.' If a man has sex … HE'S. A. STUD. A BOSSSSSS. A KING. If a woman even talks about sex openly … she is shamed! But if a man talks or RAPS freely about all the women (or more commonly used 'bitches'/‘hoes' … how lovely) he's had … he is regaled. If a woman is seen with a friend with a penis, there is immediate assumption of romance or sex and she is labeled!!! If a man is seen with a woman his status is elevated/celebrated.""
– on Twitter"
Focus,Dangerous Woman,"[Verse 1]
I know what I came to do
And that ain't gonna change
So go ahead and talk your talk
'Cause I won't take the bait
I'm over here doin' what I like
I'm over here workin' day and night
And if my real ain't real enough
I'm sorry for you, bae

[Pre-Chorus]
Let's find a light inside our universe now
Where ain't nobody keep on holdin' us down
Just come and get it, let them say what they say
'Cause I'm about to put them all away, woo

[Chorus: Jamie Foxx (Ariana Grande)]
Focus on me, f-f-focus on me
Focus on me, f-f-focus on me
Focus on me (focus), f-f-focus on me (focus on me)
Focus on me (focus), f-f-focus on me (focus on me)

[Verse 2]
I can tell you're curious
It's written on your lips
Ain't no need to hold it back
Go 'head and talk your shit
I know you're hopin' that I'll react
I know you're hopin' I'm lookin' back
But if my real ain't real enough
Then I don't know what is

[Pre-Chorus]
Let's find a light inside our universe now
Where ain't nobody keep on holding us down
Just come and get it, let them say what they say
'Cause I'm about to put them all away

[Chorus: Jamie Foxx (Ariana Grande)]
Focus on me, f-f-focus on me
Focus on me, f-f-focus on me
Focus on me (focus), f-f-focus on me (focus on me)
Focus on me (focus), f-f-focus on me (focus on me)

[Breakdown]
One, two, three, c'mon girls
You're gonna like it
Come on, now, now

[Pre-Chorus]
Let's find a light inside our universe now
Where ain't nobody keep on holding us down
Just come and get it, let them say what they say
'Cause I'm about to put them all away

[Chorus: Jamie Foxx (Ariana Grande)]
Focus on me, f-f-focus on me
Focus on me, f-f-focus on me
Focus on me (focus), f-f-focus on me (focus on me)
Focus on me (focus), f-f-focus on me (focus on me)
Focus on me, f-f-focus on me
Focus on me, f-f-focus on me
Focus on me (focus), f-f-focus on me (focus on me)
Focus on me (focus), f-f-focus on me (focus on me)"
Focus (Meaning),,"""The first line of 'Focus' is: 'I know what I came to do and that ain't gonna change.' What I came here to do in this world is not only to entertain but to love, to share, to listen, to improve, to learn, to share music, to share experience, to share feelings, to make people feel happy and empowered,"" she explained.

""To make people feel like they're not alone. Without using my voice to do those things I would feel empty,"" she continued. ""When I say 'focus on me' I'm not asking to be the center of attention. I'm not asking you to focus on my face or my clothes or my body or my singing voice. By 'focus on me,' I literally mean focus on me. Focus on what I'm all about and what I believe in.

""The more we focus on each other as people and not on what we look like, what we're wearing, our gender, our hairstyle, our sexuality, the color of our skin. But focus on each other on a soul level. The more we realize how much we have in common, the more we listen to each other, the more one we become.""

The title of Ari's track might seem like an effort to get people to focus on the right things about her, too, since she's had such a tumultuous year (ahem, remember the donut incident?), but she insists this is about all of us.

""You judge because you don't focus on me, you don't focus on each other,"" she explained. ""You judge because you focus on appearance, on clothes. You focus on what you want from me, what you want from people. How you want them to wear their hair. You judge me, you wanna see me dressed a certain way, how you wanna see their make-up, their eyebrows. You focus on what you think people should be like for you. But when you stop and you actually focus on someone, you'll see the light in them. When you focus on me, you see the light in me. When we focus on each other, we see the light in each other. And even if you don't, this is who we are. What are we making fun of? What's there to make fun of? We should apologize for that."""
Forgiveness,,Expected to be soon*
Gerande,,"Easy come
Easy go

That's just how you live
Oh take take take it all but you never give
Should have known you was trouble from the first kiss
You had your eyes wide open
Why were they open

Gave you all i had
You tossed it in the trash
Tossed it in the trash you did
And to give you all my love is all ever ask cause
What you don't understand is

I catch a grenade for ya
Throw my hand on a blade for ya
I jump in front of a train for ya
You know i do anything for ya

Ohh oh

I would go through all this pain
Take a bullet straight through my brain
Yes i would die for you baby
But you won't do the same
You wouldn't do the same

Black, black, black and blue
Beat me till i'm numb
Tell the devil i said ""hey"" when you get back from where your from
Mad boy bad boy that's just what you are
You'll smile in my face and rip the breaks out my car

Gave you all i had
You tossed it in the trash
You tossed it in the trash yes you did
And to give you all my love is all i ever ask
Cause what you don't understand is

I catch i gerande for ya
I throw my hand on a blade for ya
You know i do anything for ya
Ohh oh
I would go through all this pain
Take a bullet straight through my brain
Yes i would die for ya baby
But you won't do the same

If my body was on fire
Ohhh you watch me burn down in flames
You said you loved me your a liar
Because you never, ever, ever did baby

But darling i still catch a grenade for ya
I throw my hand on a blade for ya
You know i would anything for ya
Oh ohhh oh oh
I would go through all this pain
Take a bullet straight through my brain
Yes i would die for you baby
But you won't do the
You wouldn't do the
You wouldn't do the same
Ohhh you wouldn't do the same
Oh no no no ohh"
​get well soon,Sweetener,"[Intro]
You can feel it, feel it
Yeah, yeah

[Verse 1]
They say my system is overloaded
(Girl, what’s wrong with you? Come back down)
I'm too much in my head, did you notice?
(Girl, what’s wrong with you? Come back down)
My body's here on Earth, but I'm floating
(Girl, what’s wrong with you? Come back down)
Disconnected, so sometimes, I feel frozen and alone

[Chorus]
This is for everybody
Babe, you gotta take care of your body, yuh yuh
Ain't no time to deny it, that is why we talking about it
Yeah, we talking about it
To deal with it, don't try to get by it
Ain't no time to deny it
So we had to sit down and just write it

[Verse 2]
Want you to get better (Woo!)
My life is so controlled by the what-ifs
(Girl, what’s wrong with you? Come back down)
Is there anybody else whose mind does this, mmm?
(Girl, what’s wrong with you? Come back down)
Down, down, down, down
Is there such a ladder to get above this?
(Down, down, down, down, down, down, down, down)
(Girl, what’s wrong with you? Come back down)
Maybe I should ground myself where the mud is
Before I'm gone

[Chorus]
This is for everybody
Babe, you gotta take care of your body, yuh yuh
Ain't no time to deny it, that is why we talking about it
Yeah, we talking about it
To deal with it, don't try to get by it
Ain't no time to deny it
So we had to sit down and just write it

[Bridge]
You can work your way to the top
(You can feel it, feel it, woo)
Just know that there’s up and downs and there's drops
(You can feel it, feel it, woo)
Unfollow fear and just say ""You are blocked""
(You can feel it, feel it, yuh)
Just know there is so much room at the top
(You can feel it, feel it, yuh)

[Refrain]
Well here's one thing you can trust, yuh
It take you and me to make us
One of those days you had enough, I'll be there, yuh yuh yuh
'Cause if it ain't one thing, it's another
When you need someone to pull you out the bubble
I'll be right there just to hug you, I'll be there
Where are you? Are you home? Call me right on the phone
I'll be there, yeah, I'll be there
I don't care who is gone, you shouldn't be alone
I'll be there, there

[Bridge]
You can work your way to the top (Woo!)
(You can feel it, feel it, woo)
(I'm with you, I'm with you, I'm with you, just call me
I'm with you, I'm with you)
Just know that there’s up and downs and there's drops
(You can feel it, feel it babe)
(I'm with you, I'm with you, I'm with you, just call me
I'm with you, I'm with you)
Unfollow fear and just say ""you are blocked""
(You can feel it, feel it, yuh)
(I'm with you, I'm with you, I'm with you, just call me
I'm with you, I'm with you)
Just know there is so much room at the top
(You can feel it, feel it, yeh)
(I'm with you, I'm with you, I'm with you, just call me
No matter the issue)
No matter what, uh uh uh

[Refrain]
Here's one thing you can trust, yuh
It take you and me to make us
One of those days you had enough, I'll be there, I'll be there
'Cause if it ain't one thing, it's another
If you need someone to pull you out the bubble
I'll be right there just to hug you, I'll be there
Where are you? Are you home? Call me right on the phone
I'll be there, yeah, I'll be there, I'll be there
I don't care who is gone, you shouldn't be alone
I'll be there, ooh, there

[Outro]
You can work your way to the top
(You can feel it, feel it)"
Go Ahead (without it),,Lyrics will be available upon release. Stay tuned!
​God is a woman,Sweetener,"[Chorus]
You, you love it how I move you
You love it how I touch you, my one
When all is said and done
You'll believe God is a woman
And I, I feel it after midnight
A feelin' that you can't fight, my one
It lingers when we're done
You'll believe God is a woman

[Verse 1]
I don't wanna waste no time, yeah
You ain't got a one-track mind, yeah
Have it any way you like, yeah
And I can tell that you know I know how I want it
Ain't nobody else can relate
Boy, I like that you ain't afraid
Baby, lay me down and let's pray
I'm tellin' you the way I like it, how I want it

[Pre-Chorus]
(Yeah) And I can be all the things you told me not to be
(Yeah) When you try to come for me, I keep on flourishing
(Yeah) And he see the universe when I'm the company
It's all in me

[Chorus]
You, you love it how I move you
You love it how I touch you, my one
When all is said and done
You'll believe God is a woman
And I, I feel it after midnight
A feelin' that you can't fight, my one
It lingers when we're done
You'll believe God is a woman

[Verse 2]
(Yeah)
I tell you all the things you should know
So baby, take my hands, save your soul
We can make it last, take it slow, hmm
And I can tell that you know I know how I want it, yeah
But you're different from the rest
And boy, if you confess, you might get blessed
See if you deserve what comes next
I'm tellin' you the way I like it, how I want it

[Pre-Chorus]
(Yeah) And I can be all the things you told me not to be
(Yeah) When you try to come for me, I keep on flourishing
(Yeah) And he see the universe when I'm the company
It's all in me

[Chorus]
You, you love it how I move you
You love it how I touch you, my one
When all is said and done
You'll believe God is a woman
And I, I feel it after midnight
A feelin' that you can't fight, my one
It lingers when we're done
You'll believe God is a woman

[Outro]
Yeah, yeah
(God is a woman)
Yeah, yeah
(God is a woman, yeah)
My one
(One)
When all is said and done
You'll believe God is a woman
You'll believe God
(God is a woman)
Oh, yeah
(God is a woman, yeah)
(One)
It lingers when we're done
You'll believe God is a woman"
God is a woman - Türkçe,,"[Nakarat]
Sen, seni nasıl hareket ettirişimi seviyorsun
Sana nasıl dokunduğumu seviyorsun
Bir tanem, her şey söylendiğinde ve yapıldığında
Tanrı’nın bir kadın olduğuna inanacaksın
Ve ben, gece yarısından sonra hissediyorum
Kavga edemeyeceğin bir his
Bir tanem, işimiz bittiğinde devam ediyor
Tanrı’nın bir kadın olduğuna inanacaksın

[1. Kıta]
Zaman kaybetmek istemiyorum, evet
Bir parça aklın yok, evet
İstediğin gibi olsun, evet
Ve bunu nasıl istediğimi bildiğini söyleyebilirim
Başka kimse ilişki kuramaz
Oğlum, korkmaman hoşuma gitti
Bebeğim, beni yatır ve dua edelim
Sana nasıl hoşuma gittiğini söylüyorum, nasıl istediğimi

[Ön-Nakarat]
(Evet)
Ve bana olmamamı söylediğin her şey olabilirim
(Evet)
Benim için gelmeye çalıştığın zaman, devam ediyorum
(Evet)
Ve ben eşlik ettiğimde o evreni görüyor
Hepsi bende

[Nakarat]
Sen, seni nasıl hareket ettirişimi seviyorsun
Sana nasıl dokunduğumu seviyorsun
Bir tanem, her şey söylendiğinde ve yapıldığında
Tanrı’nın bir kadın olduğuna inanacaksın
Ve ben, gece yarısından sonra hissediyorum
Kavga edemeyeceğin bir his
Bir tanem, işimiz bittiğinde devam ediyor
Tanrı’nın bir kadın olduğuna inanacaksın

[2. Kıta]
Bilmen gereken her şeyi sana anlatacağım
Bu yüzden, bebeğim, elimi tut, ruhunu kurtar
Son yapabiliriz, yavaştan alabiliriz, hmm
Ve bunu nasıl istediğimi bildiğini söyleyebilirim, evet
Ama diğerlerinden farklısın
Ve oğlum, itiraf edersen, kutsanabilirsin
Sıradaki şeyi hak edip etmediğini gör
Sana nasıl hoşuma gittiğini söylüyorum, nasıl istediğimi

[Ön-Nakarat]
(Evet)
Ve bana olmamamı söylediğin her şey olabilirim
(Evet)
Benim için gelmeye çalıştığın zaman, devam ediyorum
(Evet)
Ve ben eşlik ettiğimde o evreni görüyor
Hepsi bende

[Nakarat]
Sen, seni nasıl hareket ettirişimi seviyorsun
Sana nasıl dokunduğumu seviyorsun
Bir tanem, her şey söylendiğinde ve yapıldığında
Tanrı’nın bir kadın olduğuna inanacaksın
Ve ben, gece yarısından sonra hissediyorum
Kavga edemeyeceğin bir his
Bir tanem, işimiz bittiğinde devam ediyor
Tanrı’nın bir kadın olduğuna inanacaksın

[Bitiş]
(Tanrı bir kadın)
Evet, evet
(Tanrı bir kadın, evet)
Bir tanem
(Bir tanem)
Her şey söylendiğinde ve yapıldığında
Tanrı’nın bir kadın olduğuna inanacaksın
Tanrı’ya inanacaksın
(Tanrı bir kadın)
Oh, evet
(Tanrı bir kadın, evet)
(Bir tanem)
İşimiz bittiğinde devam ediyor
Tanrı’nın bir kadın olduğuna inanacaksın"
​goodnight n go,Sweetener,"[Verse]
Tell me why you gotta look at me that way
You know what it does to me
So baby, what you tryna say? Ayy
Lately, all I want is you on top of me
You know where your hands should be
So baby, won't you come show me? Mmm
I got you, I got you dreamin'
You close your eyes and you're screamin'
Play with your mind for no reason
I know you love how I tease it
You know that I'm playin', so don't be mistaken
You already know what I'm thinkin', boy

[Chorus]
Oh, why'd you have to be so cute?
It's impossible to ignore you, ah
Why must you make me laugh so much?
It's bad enough we get along so well
Just say goodnight and go
Oh, oh, oh
Just say goodnight and go
Oh, oh, oh
Just say goodnight and go

[Bridge]
One of these days
You'll miss your train and come stay with me
(It's always say goodnight and go)
We'll have drinks and talk about things
And any excuse to stay awake with you
And you'd sleep here, I'd sleep there
But then the heating may be down again
(At my convenience)
We'd be good, we'd be great together

[Chorus]
Why'd you have to be so cute?
It's impossible to ignore you, ah
Why must you make me laugh so much?
It's bad enough we get along so well
Just say goodnight and go
Oh, oh, oh
Just say goodnight and go
Oh, oh, oh

[Post-Chorus]
I know how you want it, baby, just like this
Know you're thinkin' 'bout it, baby, just one kiss
While you're lookin' at 'em, baby, read my lips
I know what you want, but you can't have this

[Outro]
Wanna say goodnight
Honey, say goodnight and go
Wanna say goodnight
Baby, say goodnight and go
Wanna say goodnight
Say goodnight and go"
